Title,Publish date,Category,Associated project name,Link to item,Type,Link to project page,Year,Project Status
5B ' Scaling Manufacturing and Accelerating Maverick Solution Development - Lessons Learnt Report 1,1/09/2025,"Large-scale solar, Solar energy",5B - Scaling Manufacturing and Accelerating Maverick Solution Development,https://arena.gov.au/knowledge-bank/5b-scaling-manufacturing-and-accelerating-maverick-solution-development-lessons-learnt-report-1/,"Reports, Lessons",https://arena.gov.au/projects/5b-scaling-manufacturing-and-accelerating-maverick-solution-development/,2024,Current
George Weston Foods ' Feasibility Study into Onsite Thermal Systems - Study Report,1/09/2025,Renewables for industry,George Weston Foods - Feasibility Study into Onsite Thermal Systems,https://arena.gov.au/knowledge-bank/george-weston-foods-feasibility-study-into-onsite-thermal-systems-study-report/,Reports,https://arena.gov.au/projects/george-weston-foods-feasibility-study-into-onsite-thermal-systems/,2024,Past
EVX - ChargeKonnect Kerbside EV Charging Project - Lessons Learnt Report 1,1/09/2025,Electric vehicles,EVX - ChargeKonnect Kerbside EV Charging Project,https://arena.gov.au/knowledge-bank/evx-chargekonnect-kerbside-ev-charging-project-lessons-learnt-report-1/,"Reports, Lessons",https://arena.gov.au/projects/evx-chargekonnect-kerbside-ev-charging-project/,2025,Current
Fortescue - Scale up of Next Gen CSIRO Axial Flow Electrolyser for Green Hydrogen - Core research interim report,21/08/2025,Hydrogen energy,Scale up & demonstration of next-generation CSIRO axial flow electrolyser,https://arena.gov.au/knowledge-bank/fortescue-scale-up-of-next-gen-csiro-axial-flow-electrolyser-for-green-hydrogen-core-research-interim-report/,Reports,https://arena.gov.au/projects/scale-up-and-demonstration-of-next-generation-csiro-axial-flow-electrolyser-for-green-hydrogen-production/,2024,Current
Alice Springs Future Grid Final Report,20/08/2025,"Solar energy, Solar PV R&amp;D",Alice Springs Future Grid Project,https://arena.gov.au/knowledge-bank/alice-springs-future-grid-final-report/,Reports,https://arena.gov.au/projects/alice-springs-future-grid-project/,2020,Past
Lessons learned from renewable hydrogen projects,15/08/2025,Hydrogen energy,,https://arena.gov.au/knowledge-bank/lessons-learned-from-renewable-hydrogen-projects/,Reports,,,
5B ' Scaling Manufacturing and Accelerating Maverick Solution Development - Commercialisation Report,15/08/2025,"Large-scale solar, Solar energy",5B - Scaling Manufacturing and Accelerating Maverick Solution Development,https://arena.gov.au/knowledge-bank/5b-scaling-manufacturing-and-accelerating-maverick-solution-development-commercialisation-report/,Reports,https://arena.gov.au/projects/5b-scaling-manufacturing-and-accelerating-maverick-solution-development/,2024,Current
Edify - Green Hydrogen Project - Final Report,15/08/2025,Hydrogen energy,Edify - Green Hydrogen Project,https://arena.gov.au/knowledge-bank/edify-green-hydrogen-project-final-report/,Reports,https://arena.gov.au/projects/edify-green-hydrogen-project/,2024,Past
Linfox - Heavy Truck Electrification Project - Lessons Learnt Report 1,15/08/2025,Electric vehicles,Linfox - Heavy Truck Electrification Project,https://arena.gov.au/knowledge-bank/linfox-heavy-truck-electrification-project-lessons-learnt-report-1/,"Reports, Lessons",https://arena.gov.au/projects/linfox-heavy-truck-electrification-project/,2024,Current
UoN - Electric Smelting of Australian Hematite-Goethite Hydrogen DRI - Core Research Interim Report,14/08/2025,Renewables for industry,"The University of Newcastle, electric smelting of hematite-goethite hydrogen DRI",https://arena.gov.au/knowledge-bank/uon-electric-smelting-of-australian-hematite-goethite-hydrogen-dri-core-research-interim-report/,Reports,https://arena.gov.au/projects/the-university-of-newcastle-electric-smelting-of-australian-hematite-goethite-hydrogen/,2024,Current
Hydro Tasmania Community Batteries Project - Lessons Learnt Report 1,13/08/2025,Battery storage,Hydro Tasmania Community Batteries Project,https://arena.gov.au/knowledge-bank/hydro-tasmania-community-batteries-project-lessons-learnt-report-1/,Lessons,https://arena.gov.au/projects/hydro-tasmania-community-batteries-project/,2024,Current
